,inputs,policies,labels
15,"Managers can read and set ordinary employees’ bonuses, but not those of other managers or the director.",{decision: allow; subject: managers; action: read; resource: ordinary employees’ bonuses; condition: none; purpose: none | decision: deny; subject: managers; action: read; resource: director’s bonuses; condition: none; purpose: none | decision: allow; subject: managers; action: set; resource: ordinary employees’ bonuses; condition: patients can process patient drug orders; purpose: none | decision: deny; subject: managers; action: set; resource: other managers’ bonuses; condition: none; purpose: none | decision: deny; subject: managers; action: set; resource: director’s bonuses; condition: none; purpose: none | decision: deny; subject: managers; action: read; resource: other managers’ bonuses; condition: none; purpose: none},4
16,"A patient can click ""View Full Calendar"" link to view his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates in the current month displayed on a calendar for the current month .",{decision: allow; subject: patient; action: click; resource: “view full calendar link; condition: none; purpose: determine if the patient exhibits one or more risk factors | decision: allow; subject: patient; action: click; resource: “view full calendar link; condition: none; purpose: view his or her appointments in the current month | decision: allow; subject: patient; action: click; resource: “view full calendar link; condition: none; purpose: view his or her office visit dates | decision: allow; subject: patient; action: click; resource: “view full calendar link; condition: none; purpose: view lab procedure dates in the current month},5
17,Each professor except the teachers can review a project.,{decision: allow; subject: professor; action: review; resource: project; condition: none; purpose: none | decision: deny; subject: teacher; action: review; resource: project; condition: none; purpose: none},11
18,"Owners only change data, which they cannot store almost all to retain.",{decision: allow; subject: owners; action: change; resource: data; condition: none; purpose: none},10
19,"a reviewer to a paper will resign, unless they have already appointed a press - inspector for other paper.",{decision: deny; subject: reviewer; action: resign; resource: none; condition: data owners not exist; purpose: none},4
20," ""Only Bob can write to Resource B with the purpose of editing.""",{decision: allow; subject: bob; action: write; resource: none; condition: none; purpose: editing},7
21,"The doctors do also add the notes of a resident, though, on the basis of doctor - patient agreements, be not visible to a care staff.",{decision: allow; subject: doctors; action: add; resource: notes of a resident; condition: doctors - patient agreements; purpose: none | decision: deny; subject: care staff; action: lock; resource: notes of a resident; condition: doctors - patient agreements; purpose: none},2
22,An HCP chooses to document  or edit  an office visit.,{decision: deny; subject: hcp; action: document; resource: office visit; condition: none; purpose: none | decision: allow; subject: hcp; action: edit; resource: office visit; condition: none; purpose: none},0
23,"The representative enters the text of the response message (up to 1000 characters), then clicks the send button.",{decision: allow; subject: representative; action: click; resource: send button; condition: none; purpose: none},10
24,"If the schedule contains “enrolled in” course offerings, the Student must be removed from the course offering.",{decision: allow; subject: none; action: remove; resource: student; condition: schedule contains “enrolled in” course offerings; purpose: none},11
25,"When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.",{decision: deny; subject: lhcp; action: view; resource: list of his upcoming appointments; condition: none; purpose: none | decision: allow; subject: system; action: present; resource: option; condition: none; purpose: edit or remove the appointment},0
26,The doctors can also add private notes about a resident that cannot be viewed by health care workers.,{decision: deny; subject: health care workers; action: view; resource: private notes about a resident; condition: none; purpose: none},10
27,The development team is responsible for writing code and conducting code reviews and and deploying applications.,{decision: allow; subject: none; action: deploying applications; resource: none; condition: none; purpose: none | decision: allow; subject: development team; action: writing code; resource: none; condition: none; purpose: none | decision: allow; subject: development team; action: conducting code reviews; resource: none; condition: none; purpose: none},6
28,"An LHCP can see the blood pressure and glucose levels , or weight, height, and pedometer readings  for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings .",{decision: allow; subject: lhcp; action: see; resource: weight; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: blood pressure; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: height; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: papers; condition: none; purpose: none},3
29," ""Only users with the role of 'manager' can delete customer accounts from the system.""",{decision: allow; subject: none; action: delete; resource: customer accounts; condition: from the system; purpose: none},6
30,The LHCP can view of the comprehensive patient report for the specified patient,{decision: allow; subject: lhcp; action: calculate; resource: comprehensive patient report; condition: none; purpose: none},2
31,Doctors need not sign a confidentiality agreement since they are bound by a code of professional conduct.,{decision: deny; subject: none; action: sign; resource: confidentiality agreement; condition: none; purpose: none},6
32,"For each paper that a reviewer would like to review, the corresponding checkbox in the left part of the window should be marked.",{decision: allow; subject: none; action: mark; resource: checkbox in the left part of the window; condition: reviewer would like to review the paper that a reviewer would like to review; purpose: protect patients confidentiality},5
33,Administrators can access only the administrative pages,{decision: allow; subject: administrators; action: access; resource: administrative pages; condition: none; purpose: none},11
34,The patient then chooses the beginning and end date for the period of time they would like to view their access log for .,{decision: allow; subject: patient; action: choose; resource: name of the immunization; condition: none; purpose: view their access log},3
35,The system displays each student and any grade that was previously assigned for the offering.,{decision: allow; subject: none; action: display; resource: grade; condition: none; purpose: none | decision: allow; subject: system; action: display; resource: student; condition: none; purpose: none},6
36,"The HCP can view patient name, lab procedure code, current lab procedure status, timestamp, and Lab Technician name.",{decision: allow; subject: hcp; action: view; resource: lab procedure code; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: current lab procedure status; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: lab technician name; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: timestamp; condition: none; purpose: none | decision: allow; subject: none; action: view; resource: patient name; condition: none; purpose: none},6
37,The iTrust user (HCP or patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,{decision: allow; subject: hcp; action: authenticate; resource: himself or herself; condition: none; purpose: none | decision: allow; subject: patient; action: authenticate; resource: himself or herself; condition: none; purpose: none},11
38,"So, for example, the manager should be made aware of repeated attempts by a health care worker to access information beyond their rights.",{decision: allow; subject: none; action: aware; resource: repeated attempts by a health care worker; condition: none; purpose: none},6
39,The HCP must not access the information of another patient and then enter or edit it.,{decision: deny; subject: hcp; action: enter; resource: information of another patient; condition: none; purpose: none | decision: deny; subject: hcp; action: rank; resource: information of another patient; condition: none; purpose: none | decision: deny; subject: hcp; action: access; resource: information of another patient; condition: none; purpose: none},2
40,The Lab Technician enters the lab procedure numerical result and confidence interval for the lab procedure with the status of testing.,{decision: allow; subject: lab technician; action: enter; resource: lab procedure numerical result; condition: none; purpose: testing | decision: allow; subject: users with special privileges; action: enter; resource: confidence interval for the lab procedure; condition: none; purpose: testing},1
41,"After a message is sent, the LHCP is directed to his message outbox.",{decision: allow; subject: none; action: direct; resource: none; condition: message is sent; purpose: none},7
42,"Each new version is allowed to restore course information from the existing database, but not allowed to change them.",{decision: deny; subject: new version; action: change; resource: course information; condition: none; purpose: none | decision: allow; subject: new version; action: restore; resource: course information; condition: none; purpose: none},11
43,"When a reviewer has submitted all his reviews and has time to review more papers, he may look at the overview containing all papers and select papers for which conflicting reviews exist.",{decision: allow; subject: reviewer; action: select; resource: papers for which conflicting reviews exist; condition: reviewer has time to review more papers; purpose: none | decision: allow; subject: reviewer; action: look; resource: overview containing all papers; condition: reviewer has submitted all his reviews; purpose: none | decision: allow; subject: reviewer; action: select; resource: papers for which conflicting reviews exist; condition: reviewer has submitted all his reviews; purpose: none | decision: allow; subject: reviewer; action: track; resource: overview containing all papers; condition: reviewer has time to review more papers; purpose: none},2
44," ""Accessing Resource N is prohibited unless the Condition is satisfied and the Purpose is approved.""",{decision: allow; subject: none; action: access; resource: n; condition: condition is satisfied; purpose: purpose is approved},11
45,The actor enters his or her name and password.,{decision: allow; subject: actor; action: enter; resource: name; condition: none; purpose: none | decision: allow; subject: actor; action: enter; resource: password; condition: none; purpose: none},11
46,"If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.",{decision: allow; subject: none; action: watch; resource: error message; condition: in the update a schedule or delete a schedule sub-flows the system is unable to retrieve the student’s schedule; purpose: none},2
47,A patient has authenticated him or herself in the iTrust Medical Records system (UC2).,{decision: allow; subject: patient; action: authenticate; resource: none; condition: none; purpose: none},7
48,"If a patient and their personal health officer have not yet completed a satisfaction survey for an office visit, the patient may request the survey for an office visit (if the survey has already been completed, the clinic or personal care manager will no longer be able to conduct the survey) (uc24).",{decision: deny; subject: clinic; action: conduct; resource: survey; condition: survey has already been completed; purpose: none | decision: allow; subject: patient; action: request; resource: survey; condition: patient and their personal health officer have not yet completed a satisfaction survey for an office visit; purpose: office visit},10
49,A fake email is sent to the LHCP alerting the LHCP that a new message reply has arrived.,{decision: allow; subject: payers; action: send; resource: fake email; condition: none; purpose: lhcp is alerted that a new message reply has arrived},1
50,The patient types the subject and the text of a message.,{decision: allow; subject: patient; action: type; resource: subject; condition: none; purpose: none},10
51,An HCP edits patient.,{decision: deny; subject: hcp; action: edit; resource: patient; condition: none; purpose: none},0
52," ""Access to the research database is limited to researchers and authorized staff members.""",{decision: allow; subject: researchers; action: access; resource: research database; condition: none; purpose: none},10
53,"If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.",{decision: allow; subject: none; action: display; resource: error message; condition: in the update a student  or delete a student  sub-flows_ student with the specified id number does not exist; purpose: none},6
54,Users cannot view an owner's account or make changes,{decision: deny; subject: users; action: view; resource: owner account; condition: he has not submitted his review; purpose: none | decision: deny; subject: users; action: make; resource: changes; condition: none; purpose: none},4
55,"On the LHCP homepage, the LHCP views a notification center with a list of his upcoming appointments for the current date, number of physiologic data monitoring reports of his patients for the current date, number of weight or pedometer data monitoring reports of his patients for the current date, number of unread messages from his message inbox.",{decision: allow; subject: lhcp; action: view; resource: notification center; condition: none; purpose: none | decision: allow; subject: lhcp; action: view; resource: number of physiologic data monitoring reports; condition: none; purpose: none | decision: allow; subject: lhcp; action: view; resource: number of unread messages; condition: none; purpose: none},10
56,The system provides the Registrar with the new professor id.,{decision: allow; subject: system; action: provide; resource: new offers; condition: none; purpose: none},3
57,"A patient is only given the choice to restrict viewing on selected diagnostic information, such as those related to mental illness, substance abuse, and cosmetic surgery.",{decision: allow; subject: patient; action: restrict; resource: undesignating lhcp; condition: none; purpose: none},3
58,The LHCP is presented with a list of other appointments that conflict with the new one.,{decision: deny; subject: none; action: present; resource: list of other appointments that conflict with the new one; condition: none; purpose: none},0
59,"The adverse event report changes to a status of ""removed.""",{decision: allow; subject: none; action: change; resource: adverse event report; condition: none; purpose: protecting the confidentiality},5
60,The user may try three times.,{decision: allow; subject: user; action: try; resource: three times; condition: survey has already been takend; purpose: none},4
61,He or she can select a patient and then enter data.,{decision: allow; subject: she; action: enter; resource: data; condition: none; purpose: none | decision: allow; subject: he; action: enter; resource: data; condition: none; purpose: none | decision: allow; subject: she; action: select; resource: patient; condition: none; purpose: none | decision: allow; subject: he; action: move; resource: patient; condition: none; purpose: none},2
62,"The event is logged (UC 5, S8) and the HCP is returned in the specific office visit record to verify his or her changes.",{decision: allow; subject: none; action: log; resource: event; condition: none; purpose: none | decision: allow; subject: hcp; action: return; resource: specific office visit record; condition: none; purpose: verify his or her changes},11
63,"The administrator stores the ICD-9CM code, a classification and the name of the diagnosis.",{decision: allow; subject: administrator; action: store; resource: name of the diagnosis; condition: none; purpose: none | decision: allow; subject: administrator; action: store; resource: classification; condition: none; purpose: none},10
64,To prevent unauthorized access only system administrators can modify the server settings.,{decision: allow; subject: none; action: modify; resource: server settings; condition: none; purpose: prevent unauthorized access},6
65,"Through the Personal Health Records page, an LHCP chooses a chronic disease and a patient.",{decision: allow; subject: hr manager; action: choose; resource: chronic disease; condition: none; purpose: none | decision: allow; subject: lhcp; action: choose; resource: patient; condition: none; purpose: none},1
66,An HCP may upload a photo of the patient as part of the patient's demographic records.,{decision: allow; subject: professors; action: upload; resource: photo of the patient; condition: none; purpose: none},1
67," ""The system administrator has full control over the server for maintenance and troubleshooting purposes.""",{decision: allow; subject: system administrator; action: control; resource: server; condition: none; purpose: troubleshooting},10
68,HCPs can return to an office visit and modify or delete the fields of the office visit .,{decision: allow; subject: hcp; action: return; resource: office visit; condition: none; purpose: none | decision: allow; subject: hcp; action: delete; resource: fields of the office visit; condition: none; purpose: none},10
69,"The current version of CyberChair supports all phases of the review process, including preparation of the proceedings in the electronic format prescribed by the publisher.",{decision: deny; subject: current version of cyberchair; action: support; resource: all phases of the review process; condition: none; purpose: none},0
70,The reviewer can be added to the list of reviewers for that paper.,{decision: allow; subject: none; action: add; resource: care plan of a resident; condition: none; purpose: none},3
71,Also hcp should not enter or edit or view the recipient identity security question file password.,{decision: deny; subject: hcp; action: enter; resource: recipient identity security question file password; condition: none; purpose: none | decision: deny; subject: hcp; action: edit; resource: recipient identity security question file password; condition: none; purpose: none},10
72,"An LHCP can see the blood pressure and glucose levels, weight, height, and pedometer readings for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings.",{decision: allow; subject: lhcp; action: see; resource: weight; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: blood pressure; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: height; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: pedometer readings; condition: none; purpose: none | decision: deny; subject: lhcp; action: see; resource: glucose levels; condition: none; purpose: none},0
73,"Once the Registrar provides the requested information, one of the sub flows is executed.",{decision: allow; subject: none; action: execute; resource: one of the sub flows; condition: patients who do not have a photograph on file; purpose: none},4
74,"The HCP can view patient name, lab procedure code, current lab procedure status, timestamp, and Lab Technician name.",{decision: allow; subject: hcp; action: view; resource: lab procedure code; condition: customer has opted-in; purpose: none | decision: allow; subject: hcp; action: view; resource: current lab procedure status; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: lab technician name; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: timestamp; condition: none; purpose: none | decision: allow; subject: hcp; action: view; resource: patient name; condition: none; purpose: none},4
75,"She can check the private medical records of doctors, as she clearly cannot take over the private records on behalf of another resident.",{decision: deny; subject: she; action: take over; resource: private records; condition: none; purpose: none | decision: allow; subject: she; action: check; resource: none; condition: none; purpose: none},7
76,"If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.",{decision: allow; subject: system; action: display; resource: error message; condition: none; purpose: none},8
77,"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.",{decision: deny; subject: personal health representative; action: answer; resource: questions; condition: none; purpose: none | decision: allow; subject: patient; action: answer; resource: questions; condition: none; purpose: none},0
78,"Only administrators, not data owners, make changes to a resource's security label.",{decision: deny; subject: data owners; action: make; resource: changes; condition: none; purpose: none | decision: allow; subject: guests; action: make; resource: changes; condition: data owners not making changes; purpose: none},1
79,Administrator: The administrator assigns medical identification numbers and passwords to LHCPs.,{decision: allow; subject: administrator; action: notify; resource: medical identification numbers; condition: none; purpose: none | decision: allow; subject: administrator; action: assign; resource: passwords; condition: none; purpose: none},2
80,"Furthermore, she cannot attend private doctor's appointments, and she clearly cannot reach a legal settlement on behalf of any lawyer.",{decision: allow; subject: she; action: attend; resource: private doctors appointments; condition: none; purpose: none | decision: deny; subject: she; action: reach; resource: legal settlement; condition: none; purpose: none},0
81,An LHCP or patient or representative can sort his or her message inbox and message outbox .,{decision: allow; subject: representatives; action: sort; resource: message inbox; condition: none; purpose: none | decision: allow; subject: patients; action: sort; resource: message inbox; condition: none; purpose: none | decision: allow; subject: lhcps; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: representatives; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: lhcps; action: sort; resource: message inbox; condition: none; purpose: none},10
82,An LHCP chooses to view the height or weight or pedometer data monitoring details.,{decision: allow; subject: lhcp; action: view; resource: pedometer daily monitoring details; condition: none; purpose: none | decision: allow; subject: lhcp; action: view; resource: weight; condition: none; purpose: none | decision: allow; subject: 4 reviewers with the least number of papers assigned so far; action: view; resource: height; condition: none; purpose: none},1
83,"This is used to discover papers that have only been reviewed by non-experts, so that the PCC may ask another reviewer to review the paper.",{decision: allow; subject: none; action: discover; resource: papers that have only been reviewed by non-experts; condition: subject is not a pc-chair or admin; purpose: so that the pcc may ask another reviewer to review the paper},4
84,CyberChair assigns a unique identification to the submission and sends a login and password combination for step 2 to the contact person’s email address.,{decision: allow; subject: cyberchair; action: send; resource: login and password combination; condition: none; purpose: step 2 | decision: deny; subject: cyberchair; action: assign; resource: unique identification; condition: none; purpose: none},0
85,"If this survey has already been carried out, the patient or personal health officer will not be able to carry out the survey or view the previously submitted survey.",{decision: deny; subject: personal health officer; action: carry out; resource: survey; condition: survey has already been carried out; purpose: none | decision: deny; subject: personal health officer; action: view; resource: previously submitted survey; condition: survey has already been carried out; purpose: none | decision: deny; subject: patient; action: carry out; resource: survey; condition: survey has already been carried out; purpose: none | decision: deny; subject: patient; action: view; resource: none; condition: survey has already been carried out; purpose: none},7
86,"Also, she cannot view the private notes of doctors and clearly she cannot sign the legal agreement on behalf of a resident.",{decision: deny; subject: she; action: view; resource: private notes of doctors; condition: none; purpose: none | decision: deny; subject: she; action: sign; resource: legal agreement on behalf of a resident; condition: invoice’s total amount exceeds one million; purpose: none},4
87,A patient or personal health representative may enter or edit their own demographic information including their security question or answer according to data format 6.1.,{decision: allow; subject: patient; action: enter; resource: own demographic information; condition: none; purpose: retrieving data | decision: allow; subject: personal health representative; action: enter; resource: own demographic information; condition: none; purpose: none | decision: allow; subject: patient; action: edit; resource: own demographic information; condition: none; purpose: none | decision: allow; subject: personal health representative; action: edit; resource: own demographic information; condition: none; purpose: none},5
88,In case of a system failure backups should be restored to recover the data.,{decision: allow; subject: backups; action: be restored; resource: willingness to review papers on those topics; condition: none; purpose: system recovery},3
89,"This is used to discover papers that have only been reviewed by non-experts, so that the PCC may ask another reviewer to review the paper.",{decision: allow; subject: none; action: discover; resource: papers that have only been reviewed by non-experts; condition: none; purpose: so that the pcc may ask another reviewer to review the paper},11
90,He or she can select a patient and then enter data.,{decision: allow; subject: she; action: enter; resource: data; condition: none; purpose: none | decision: allow; subject: he; action: enter; resource: data; condition: none; purpose: none | decision: allow; subject: she; action: select; resource: patient; condition: none; purpose: none},10
91,The system should send email notifications to users when their password is about to expire.,{decision: deny; subject: system; action: send; resource: email notifications; condition: none; purpose: none},0
92,"If the use case was successful, the student information is added, updated, or deleted from the system.",{decision: allow; subject: none; action: delete; resource: student information; condition: use case was successful; purpose: none | decision: allow; subject: none; action: add; resource: student information; condition: use case was successful; purpose: none},10
93,"Senior caregivers can view current medical records of participants to prescribe medicine (relevant to the year in question), but are not normally able to view prior hospital information.",{decision: allow; subject: senior caregivers; action: view; resource: current medical records of participants; condition: none; purpose: prescribe medicine (relevant to the year in question)},10
94,"An LHCP views a list of his upcoming appointments for the current date, with each appointment displayed in the format ""HH:MM AM or PM - AppointmentType"".",{decision: allow; subject: lhcp; action: view; resource: list of his upcoming appointments for the current date; condition: none; purpose: business analysis},5
95,"Assume that the method does not allow you to delete the existing entry via the system interface, and then change the name of the appointment service on an existing form.",{decision: deny; subject: you; action: delete; resource: success or failure message; condition: none; purpose: none | decision: deny; subject: you; action: change; resource: name of the appointment type; condition: none; purpose: none},3
96,A LHCP creates an  UAP.,{decision: deny; subject: lhcp; action: create; resource: uap; condition: none; purpose: none},0
97,During business hours employees can access the company intranet to collaborate on projects.,{decision: allow; subject: employees; action: access; resource: company intranet; condition: invoice total amount exceeding one million; purpose: collaboration on projects},4
98," ""The user with admin privileges is authorized to modify system settings for maintenance purposes.""",{decision: allow; subject: user with admin privileges; action: document; resource: system settings; condition: none; purpose: maintenance},2
99," ""In case of an emergency any subject can execute Action Z on Resource P.""",{decision: allow; subject: any subject; action: execute; resource: p; condition: none; purpose: in case of an emergency},11
100,The course offerings not marked as “enrolled in” are marked as “selected” in the schedule.,{decision: allow; subject: none; action: mark; resource: new entry for a reason; condition: none; purpose: none},3
101,A patient or personal health representative chooses to view medical records  including family history .,{decision: allow; subject: data owners; action: view; resource: family history; condition: none; purpose: none | decision: allow; subject: personal health representative; action: view; resource: family history; condition: none; purpose: none | decision: allow; subject: personal health representative; action: view; resource: medical records; condition: none; purpose: none | decision: allow; subject: patient; action: view; resource: medical records; condition: none; purpose: none},1
102,"After clicking on a paper number several hyperlinks are generated to allow the paper to be downloaded, to display the abstract and to submit or update a review.",{decision: allow; subject: none; action: transfer; resource: hyperlinks; condition: none; purpose: display the abstract | decision: allow; subject: none; action: generate; resource: hyperlinks; condition: none; purpose: allow the paper to be downloaded | decision: allow; subject: none; action: generate; resource: hyperlinks; condition: none; purpose: submit or update a review},2
103,"Senior caregivers can view current medical records of participants to prescribe medicine (relevant to the year in question), but are not normally able to view prior hospital information.",{decision: allow; subject: senior caregivers; action: view; resource: current medical records of participants; condition: none; purpose: prescribe medicine},10
104,Default HCP does not allow the ability to enter a user's security question by password.,{decision: deny; subject: none; action: enter; resource: users security question; condition: none; purpose: none},6
105,"An LHCP can see the blood pressure and glucose levels, weight, height, and pedometer readings for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings.",{decision: allow; subject: lhcp; action: see; resource: blood pressure; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: height; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: lhcp; action: see; resource: glucose levels; condition: none; purpose: none},10
106,A sending HCP refers the patient to another receiving HCP .,{decision: allow; subject: none; action: refer; resource: patients; condition: none; purpose: none},6
107,An administrator must never be required to read or edit a patient record.,{decision: deny; subject: administrator; action: edit; resource: patient record; condition: none; purpose: none | decision: allow; subject: administrator; action: read; resource: patient record; condition: none; purpose: none},0
108,The LHCP or ER enters a MID  and confirms the input .,{decision: allow; subject: er; action: confirm; resource: input; condition: none; purpose: none | decision: allow; subject: lhcp; action: enter; resource: mid; condition: none; purpose: none | decision: allow; subject: lhcp; action: confirm; resource: input; condition: none; purpose: none},10
109,"However, it should not perform these operations when it is loading medicines to the medicine dispenser.",{decision: deny; subject: it; action: perform; resource: link of “older activities”; condition: it is loading medicines to the medicine dispenser; purpose: none},3
110,"An admin creates a LHCP, an ER and a public health agent.",{decision: allow; subject: admin; action: create; resource: er; condition: none; purpose: none | decision: allow; subject: admin; action: create; resource: public health agent; condition: none; purpose: none},10
111,"A patient may have at most one height data point, one weight data point, and one pedometer data point in any one day, reported by him or herself, a UAP, or a personal representative .",{decision: allow; subject: uap; action: report; resource: one height data point; condition: none; purpose: none | decision: allow; subject: patient; action: report; resource: one pedometer data point; condition: none; purpose: none | decision: allow; subject: personal representative; action: report; resource: one pedometer data point; condition: none; purpose: none | decision: allow; subject: uap; action: report; resource: one pedometer data point; condition: none; purpose: none | decision: allow; subject: patient; action: report; resource: one height data point; condition: none; purpose: none | decision: allow; subject: patient; action: report; resource: one weight data point; condition: none; purpose: none | decision: allow; subject: uap; action: report; resource: one weight data point; condition: none; purpose: none | decision: allow; subject: personal representative; action: report; resource: one height data point; condition: none; purpose: none},10
112,The system will automatically lock user accounts after multiple failed login attempts to prevent brute-force attacks.,{decision: allow; subject: none; action: lock; resource: user accounts; condition: after multiple failed login attempts; purpose: prevent brute-force attacks},6
113,"If the user is not prepared, this critical action may not be performed by a specific user.",{decision: deny; subject: specific user; action: perform; resource: critical action; condition: subject is not a faculty member; purpose: none},4
114,"The PC Chair can assign PC paper and PC board for verification, unless PC is author of several authors.",{decision: deny; subject: pc chair; action: assign; resource: pc paper; condition: pc is author of several authors; purpose: verification | decision: deny; subject: data owners; action: assign; resource: pc paper; condition: pc is author of several authors; purpose: verification},1
115,The iTrust user (HCP or patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,{decision: allow; subject: hcp; action: receive; resource: himself or herself; condition: none; purpose: none | decision: allow; subject: patient; action: authenticate; resource: himself or herself; condition: none; purpose: none},2
116,This use case allows a Professor to submit student grades for one or more classes completed in the previous semester.,{decision: allow; subject: professor; action: submit; resource: none; condition: none; purpose: none},7
117,The system retrieves and displays the grade information for each of the course offerings the Student completed during the previous semester.,{decision: allow; subject: system; action: display; resource: grade information for each of the course offerings the student completed during the previous semester; condition: none; purpose: none | decision: allow; subject: system; action: retrieve; resource: grade information for each of the course offerings the student completed during the previous semester; condition: none; purpose: none},11
118,"( If a surgeon or personal representative has not taken an office day satisfaction survey from an office visit date ) the patient may not take a survey for an office visit ( if the measurement has never been taken, the patient or individual health representative will not have the ability to take the survey or view no previously requested survey ).",{decision: deny; subject: patient; action: take; resource: survey; condition: surgeon or personal representative has not taken an office day satisfaction survey from an office visit date; purpose: office visit | decision: deny; subject: patient; action: view; resource: previously requested survey; condition: measurement has never been taken; purpose: none | decision: deny; subject: patient; action: take; resource: survey; condition: measurement has never been taken; purpose: none | decision: deny; subject: individual health representative; action: take; resource: survey; condition: measurement has never been taken; purpose: none | decision: deny; subject: individual health representative; action: monitoring; resource: previously requested survey; condition: measurement has never been taken; purpose: none},2
119,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",{decision: allow; subject: customer service reps; action: reduce; resource: credit card numbers; condition: customer is notified by email of the change; purpose: order processing},2
